次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
177,5,5,7,6,6
178,7,6,7,7,7
179,5,5,6,6,6
180,5,5,6,6,7
181,8,8,8,7,8
182,8,7,8,7,8
183,6,7,7,7,7
184,7,6,7,6,7
185,6,6,6,6,5
186,7,7,7,7,7
187,7,7,7,7,7
188,4,4,5,5,5
189,6,6,7,6,7
190,4,4,7,6,7
191,5,6,6,6,6
192,5,5,4,4,6
193,6,6,7,5,6
194,7,7,6,7,7
195,6,6,6,6,6
196,8,8,8,7,9
197,6,6,7,5,6
198,5,5,7,6,7
199,7,7,7,7,7
200,5,5,7,6,8
201,8,8,9,7,8
202,7,7,8,7,8
203,7,7,8,7,8
204,5,5,6,5,6
205,4,4,4,5,4
206,4,4,5,7,7
207,2,2,3,6,6
208,9,9,9,7,9
209,7,8,8,7,8
210,3,4,4,5,5
211,8,7,8,8,8
212,8,8,8,7,8
213,7,7,7,6,7
214,8,8,9,9,9
215,5,6,6,5,6
216,4,3,5,5,5
217,6,6,6,5,6
218,6,6,7,6,7
219,7,8,8,6,8
220,6,7,7,8,8
221,7,7,9,8,6
222,6,6,8,6,9
223,5,6,8,5,7
224,7,7,7,6,7
225,7,7,8,8,8
226,6,7,7,7,7
227,7,7,8,7,8
228,6,5,3,6,5
229,8,8,9,8,9
230,6,6,5,5,5
231,7,8,9,9,9
232,5,6,7,5,6
233,8,8,8,8,8
234,5,6,6,7,9
235,8,8,7,7,7
236,8,8,8,8,8
237,9,9,10,10,9
238,4,4,5,5,5
239,6,7,7,7,8
240,7,7,7,7,7
241,9,10,11,11,11
242,9,9,9,9,9
243,7,7,7,6,6
244,5,5,7,6,7
245,6,6,8,7,8
