次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
401,7,7,7,6,7
402,6,6,6,6,6
403,8,8,8,8,8
404,9,9,8,8,8
405,9,9,8,9,8
406,7,7,7,7,6
407,8,8,8,8,8
408,7,7,7,7,7
409,6,7,8,7,8
410,6,6,6,6,6
411,6,6,7,6,7
412,6,5,4,4,4
413,7,7,7,7,7
414,8,8,8,8,8
415,4,4,4,7,6
416,8,8,9,8,8
417,7,7,7,7,7
418,7,7,8,7,8
419,4,4,4,4,6
420,7,7,7,7,7
421,5,5,6,5,6
422,5,6,6,5,6
423,7,7,7,7,7
424,6,7,7,7,6
425,7,7,6,6,6
426,6,6,7,7,7
427,10,10,9,8,9
428,8,7,7,6,7
429,9,8,8,7,8
430,5,5,6,5,5
431,8,8,8,8,8
432,6,6,7,6,7
433,9,9,9,9,9
434,10,10,9,7,7
435,6,6,6,6,6
436,7,7,7,7,7
437,5,4,5,5,6
438,7,7,7,7,7
439,8,7,8,7,8
440,7,7,7,7,7
441,5,5,6,4,5
442,8,8,8,8,8
443,6,6,7,6,6
444,7,7,7,7,7
445,7,7,8,7,7
446,6,6,6,6,6
447,6,6,6,5,6
448,8,7,8,8,7
449,10,10,10,9,10
450,8,8,8,8,8
451,7,7,7,7,7
452,9,9,9,9,9
453,5,5,7,6,6
454,5,4,7,5,6
455,6,6,6,6,6
456,8,8,8,8,8
457,8,8,8,8,8
458,6,6,7,5,7
459,7,7,6,6,6
460,7,7,7,7,7
461,6,6,7,6,7
462,8,8,8,7,8
463,7,7,6,6,6
464,10,10,8,9,8
465,5,5,5,5,5
466,7,7,7,7,7
467,9,9,8,8,8
468,6,6,6,6,6
469,7,7,7,7,7
470,5,4,6,4,5
471,9,9,7,7,7
472,6,6,6,6,6
473,8,8,8,7,8
474,6,6,6,6,6
475,5,6,6,6,6
476,8,8,7,8,7
477,6,6,6,6,6
478,9,9,9,8,9
479,8,8,8,8,7
480,8,8,8,8,8
481,8,8,8,7,8
482,5,7,6,6,6
483,8,8,8,7,7
484,7,7,7,7,7
485,6,6,6,6,5
486,7,7,7,7,7
487,7,7,6,6,6
488,6,6,6,6,6
489,8,8,8,7,8
490,8,8,8,7,8
491,7,7,7,7,7
492,7,7,8,6,6
493,5,5,7,6,7
494,8,8,8,7,8
495,7,7,7,7,7
496,5,6,7,5,6
497,6,6,6,6,6
498,7,7,7,7,7
499,6,6,6,6,6
500,7,9,9,7,8
,3581,3558,3561,3425,3513
